question1,question2
What is Python?,Is python a programming language?
What are the datatypes in Python?,what is dictionary in Python?
What is Machine Learning?,What are the types of machine learning techniques?
Is python an Object oreinted language?,What is a Object oriented language?
What is the difference between Java and Python?,Is Python is better than Java?
Which is the best Python library for machine learning?,Is RandonForest is a python library?
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
